"Opponent_Manager_Team","Year","Manager_Team","Week","Outcome","Matchup.1","Score","Opponent_Score","Win","Total_Score","Week_Num","Season","Manager","Opponent_Manager"
"Ridley Me That",2018,"Daniel's Stormies","6","Loss",104.5,104.5,115.2,0,219.7,6,"Regular Season","Dan","Spencer"
"Ridley Me That",2018,"Suh Girls One Kupp","12","Win",113.24,113.24,82.02,1,195.26,12,"Regular Season","Nic","Spencer"
"Ridley Me That",2018,"Steelers SIXcess","10","Win",86.76,86.76,71.26,1,158.02,10,"Regular Season","Toney","Spencer"
"Ridley Me That",2018,"Thunder Horse","Consolation Champ","Loss",98.22,98.22,132.48,0,230.7,16,"Post Season","Colin","Spencer"
"Ridley Me That",2018,"Thunder Horse","8","Win",135.32,135.32,97.24,1,232.56,8,"Regular Season","Colin","Spencer"
"Ridley Me That",2018,"SUCK MY DITKA!!","11","Loss",72.8,72.8,142.52,0,215.32,11,"Regular Season","Soda","Spencer"
"Ridley Me That",2018,"A bunch of Jerry's","13","Loss",79.44,79.44,120.82,0,200.26,13,"Regular Season","Tony","Spencer"
"Ridley Me That",2018,"Suh Girls One Kupp","1","Win",92.84,92.84,77.34,1,170.18,1,"Regular Season","Nic","Spencer"
"Ridley Me That",2018,"Gronkey Kong","3","Loss",96.22,96.22,105.8,0,202.02,3,"Regular Season","Matt","Spencer"
"Ridley Me That",2018,"Show Me Your TD's","9","Win",140.42,140.42,123.24,1,263.66,9,"Regular Season","Jon","Spencer"
"Ridley Me That",2018,"Gronkey Kong","Consolation Semi","Loss",56.3,56.3,73.16,0,129.46,15,"Post Season","Matt","Spencer"
"Ridley Me That",2018,"MR. T's Cereal","5","Loss",71.96,71.96,83.94,0,155.9,5,"Regular Season","Joe","Spencer"
"Ridley Me That",2018,"Cousin's Familia","7","Loss",91.46,91.46,93.78,0,185.24,7,"Regular Season","Mike","Spencer"
"Ridley Me That",2018,"Admiral Ackbar's Ass","4","Loss",44.34,44.34,104.52,0,148.86,4,"Regular Season","Greco","Spencer"
"SaquonDeezNuts",2019,"The Legion Of Zoom","12","Loss",82.78,82.78,97.12,0,179.9,12,"Regular Season","Tony","Nic"
"SaquonDeezNuts",2019,"Thunder Horse","10","Win",112.08,112.08,73.54,1,185.62,10,"Regular Season","Colin","Nic"
"SaquonDeezNuts",2019,"The Legion Of Zoom","Consolation Semi","Loss",99.2,99.2,103.92,0,203.12,15,"Post Season","Tony","Nic"
"SaquonDeezNuts",2019,"Show Me Your TD's","1","Win",123.3,123.3,116.32,1,239.62,1,"Regular Season","Jon","Nic"
"SaquonDeezNuts",2019,"Admiral Ackbar's Ass","11","Win",102.34,102.34,74.26,1,176.6,11,"Regular Season","Greco","Nic"
"SaquonDeezNuts",2019,"Steelers SIXcess","2","Win",89.52,89.52,88.76,1,178.28,2,"Regular Season","Toney","Nic"
"SaquonDeezNuts",2019,"Thunder Horse","7","Win",94.44,94.44,69.32,1,163.76,7,"Regular Season","Colin","Nic"
"SaquonDeezNuts",2019,"Steelers SIXcess","Consolation Qtr","Loss",78.54,78.54,104.88,0,183.42,14,"Post Season","Toney","Nic"
"SaquonDeezNuts",2019,"TAEkin it 2 da HOUSE","13","Loss",96.12,96.12,106.66,0,202.78,13,"Regular Season","Spencer","Nic"
"SaquonDeezNuts",2019,"Dinero Pineiro","Consolation Champ","Loss",73.56,73.56,138.16,0,211.72,16,"Post Season","Joe","Nic"
"SaquonDeezNuts",2019,"The Legion Of Zoom","5","Loss",105.24,105.24,149.94,0,255.18,5,"Regular Season","Tony","Nic"
"SaquonDeezNuts",2019,"Dinero Pineiro","8","Win",116.82,116.82,101.36,1,218.18,8,"Regular Season","Joe","Nic"
"SaquonDeezNuts",2019,"Two Chips","6","Win",102.94,102.94,87.7,1,190.64,6,"Regular Season","Soda","Nic"
"SaquonDeezNuts",2019,"Hagar Billies","9","Win",91.26,91.26,77.64,1,168.9,9,"Regular Season","Mike","Nic"
"SaquonDeezNuts",2019,"Veggie Thunbergers","4","Loss",61.12,61.12,61.7,0,122.82,4,"Regular Season","Dan","Nic"
"SaquonDeezNuts",2019,"Da Bear Necessities","3","Loss",95.02,95.02,125.54,0,220.56,3,"Regular Season","Matt","Nic"
"Show Me Your TD's",2015,"The Bell Staff","1","Loss",89.84,89.84,113.7,0,203.54,1,"Regular Season","Pender","Jon"
"Show Me Your TD's",2015,"Circle Joique","Playoffs Semi","Loss",82.66,82.66,102.86,0,185.52,15,"Post Season","Mike","Jon"
"Show Me Your TD's",2015,"The Bell Staff","10","Loss",84.5,84.5,90.98,0,175.48,10,"Regular Season","Pender","Jon"
"Show Me Your TD's",2015,"Cheap Vodka","8","Loss",69.28,69.28,72.54,0,141.82,8,"Regular Season","Joe","Jon"
"Show Me Your TD's",2015,"SUCK MY DITKA","7","Win",117.7,117.7,107,1,224.7,7,"Regular Season","Soda","Jon"
"Show Me Your TD's",2015,"Ginger Kids","Playoffs Champ","Win",134.78,134.78,128.8,1,263.58,16,"Post Season","Dan","Jon"
"Show Me Your TD's",2015,"Circle Joique","2","Win",99.52,99.52,89.8,1,189.32,2,"Regular Season","Mike","Jon"
"Show Me Your TD's",2015,"Ginger Kids","5","Win",84.76,84.76,79.8,1,164.56,5,"Regular Season","Dan","Jon"
"Show Me Your TD's",2015,"WhamBamThankYouCam","3","Loss",129.6,129.6,138.52,0,268.12,3,"Regular Season","Toney","Jon"
"Show Me Your TD's",2015,"WhamBamThankYouCam","12","Loss",78.62,78.62,105.82,0,184.44,12,"Regular Season","Toney","Jon"
"Show Me Your TD's",2015,"Circle Joique","11","Loss",67.48,67.48,118.4,0,185.88,11,"Regular Season","Mike","Jon"
"Show Me Your TD's",2015,"Admiral Ackbar's Ass","13","Loss",66.98,66.98,139.6,0,206.58,13,"Regular Season","Greco","Jon"
"Show Me Your TD's",2015,"Admiral Ackbar's Ass","4","Win",74.92,74.92,73.84,1,148.76,4,"Regular Season","Greco","Jon"
"Show Me Your TD's",2015,"Slob on my Cobb","9","Win",123.36,123.36,97.96,1,221.32,9,"Regular Season","Spencer","Jon"
"Show Me Your TD's",2015,"The Derek Carrs","6","Loss",102.48,102.48,105.38,0,207.86,6,"Regular Season","Tony","Jon"
"Show Me Your TD's",2016,"SUCK MY DITKA","Playoffs Qtr","Loss",68.18,68.18,72.34,0,140.52,14,"Post Season","Soda","Jon"
"Show Me Your TD's",2016,"Jordy oz. to Freedom","Playoffs 3rd","Win",84.88,84.88,82.92,1,167.8,16,"Post Season","Spencer","Jon"
"Show Me Your TD's",2016,"Thunder Horse","3","Win",121.96,121.96,66.14,1,188.1,3,"Regular Season","Colin","Jon"
"Show Me Your TD's",2016,"Cheap Vodka","Playoffs Semi","Win",94.24,94.24,79.5,1,173.74,15,"Post Season","Joe","Jon"
"Show Me Your TD's",2016,"Cheap Vodka","5","Win",142.12,142.12,95.58,1,237.7,5,"Regular Season","Joe","Jon"
"Show Me Your TD's",2016,"Ginger Kids","7","Win",101.84,101.84,81.42,1,183.26,7,"Regular Season","Dan","Jon"
"Show Me Your TD's",2016,"Wilfork on 1st Date","8","Loss",96.22,96.22,111.2,0,207.42,8,"Regular Season","Matt","Jon"
"Show Me Your TD's",2016,"Fuck Gronks bitchass","1","Loss",101.46,101.46,121.5,0,222.96,1,"Regular Season","Tony","Jon"
"Show Me Your TD's",2016,"Team Zekeachu","11","Loss",66.52,66.52,102.68,0,169.2,11,"Regular Season","Pender","Jon"
"Show Me Your TD's",2016,"Steelers SIXcess","2","Loss",51.66,51.66,104.88,0,156.54,2,"Regular Season","Toney","Jon"
"Show Me Your TD's",2016,"SUCK MY DITKA","10","Win",91.82,91.82,73.56,1,165.38,10,"Regular Season","Soda","Jon"
"Show Me Your TD's",2016,"Steelers SIXcess","13","Loss",89.16,89.16,114.62,0,203.78,13,"Regular Season","Toney","Jon"
"Show Me Your TD's",2016,"Bell's Potslam","6","Loss",70.64,70.64,98.98,0,169.62,6,"Regular Season","Mike","Jon"
"Show Me Your TD's",2016,"Fuck Gronks bitchass","12","Loss",79.14,79.14,93.26,0,172.4,12,"Regular Season","Tony","Jon"
"Show Me Your TD's",2016,"Jordy oz. to Freedom","9","Win",106.08,106.08,68.84,1,174.92,9,"Regular Season","Spencer","Jon"
"Show Me Your TD's",2016,"Admiral Ackbar's Ass","4","Loss",103.6,103.6,111.56,0,215.16,4,"Regular Season","Greco","Jon"
"Show Me Your TD's",2017,"The Cucumber Curse","12","Win",138.98,138.98,84.84,1,223.82,12,"Regular Season","Tony","Jon"
"Show Me Your TD's",2017,"SUCK MY DITKA!","10","Win",144.46,144.46,76.56,1,221.02,10,"Regular Season","Soda","Jon"
"Show Me Your TD's",2017,"The Dakstreet Boys","8","Loss",72.82,72.82,98.36,0,171.18,8,"Regular Season","Matt","Jon"
"Show Me Your TD's",2017,"Admiral Ackbar's Ass","4","Loss",74.14,74.14,78.02,0,152.16,4,"Regular Season","Greco","Jon"
"Show Me Your TD's",2017,"Ginger Kids","7","Win",107.82,107.82,78.54,1,186.36,7,"Regular Season","Dan","Jon"
"Show Me Your TD's",2017,"Steelers SIXcess","Consolation 9th","Win",91.82,91.82,72.26,1,164.08,16,"Post Season","Toney","Jon"
"Show Me Your TD's",2017,"Admiral Ackbar's Ass","Consolation Qtr","Loss",69.66,69.66,87.84,0,157.5,14,"Post Season","Greco","Jon"
"Show Me Your TD's",2017,"Thunder Horse","3","Win",106.26,106.26,83.3,1,189.56,3,"Regular Season","Colin","Jon"
"Show Me Your TD's",2017,"Mr. Thiel Your Gurl","9","Win",97,97,91.72,1,188.72,9,"Regular Season","Spencer","Jon"
"Show Me Your TD's",2017,"Team Carrizard","11","Loss",78.18,78.18,93.4,0,171.58,11,"Regular Season","Pender","Jon"
"Show Me Your TD's",2017,"Cheap Vodka","Consolation Semi","Win",88.84,88.84,72.34,1,161.18,15,"Post Season","Joe","Jon"
"Show Me Your TD's",2017,"Steelers SIXcess","13","Win",74.32,74.32,70.36,1,144.68,13,"Regular Season","Toney","Jon"
"Show Me Your TD's",2017,"Steelers SIXcess","2","Loss",85.98,85.98,98.44,0,184.42,2,"Regular Season","Toney","Jon"
"Show Me Your TD's",2017,"Cheap Vodka","5","Win",81.36,81.36,69.9,1,151.26,5,"Regular Season","Joe","Jon"
"Show Me Your TD's",2017,"He Hate Me","6","Win",102.18,102.18,48.34,1,150.52,6,"Regular Season","Mike","Jon"
"Show Me Your TD's",2017,"The Cucumber Curse","1","Loss",52.38,52.38,88.44,0,140.82,1,"Regular Season","Tony","Jon"
"Show Me Your TD's",2018,"Steelers SIXcess","11","Loss",79.38,79.38,102.42,0,181.8,11,"Regular Season","Toney","Jon"
"Show Me Your TD's",2018,"SUCK MY DITKA!!","1","Win",87.32,87.32,76.04,1,163.36,1,"Regular Season","Soda","Jon"
"Show Me Your TD's",2018,"Cousin's Familia","8","Loss",116.86,116.86,127.36,0,244.22,8,"Regular Season","Mike","Jon"
"Show Me Your TD's",2018,"Suh Girls One Kupp","13","Win",91.2,91.2,66.16,1,157.36,13,"Regular Season","Nic","Jon"
"Show Me Your TD's",2018,"Ridley Me That","9","Loss",123.24,123.24,140.42,0,263.66,9,"Regular Season","Spencer","Jon"
"Show Me Your TD's",2018,"Admiral Ackbar's Ass","5","Loss",69.9,69.9,89.6,0,159.5,5,"Regular Season","Greco","Jon"
"Show Me Your TD's",2018,"Gronkey Kong","4","Loss",108.66,108.66,144.2,0,252.86,4,"Regular Season","Matt","Jon"
"Show Me Your TD's",2018,"A bunch of Jerry's","3","Loss",73.52,73.52,100,0,173.52,3,"Regular Season","Tony","Jon"
"Show Me Your TD's",2018,"Daniel's Stormies","7","Loss",84.6,84.6,103.46,0,188.06,7,"Regular Season","Dan","Jon"
"Show Me Your TD's",2018,"MR. T's Cereal","6","Win",105.88,105.88,73.38,1,179.26,6,"Regular Season","Joe","Jon"
"Show Me Your TD's",2018,"Steelers SIXcess","Playoffs 5th","Loss",90.54,90.54,106.86,0,197.4,15,"Post Season","Toney","Jon"
"Show Me Your TD's",2018,"MR. T's Cereal","Playoffs Qtr","Win",84.7,84.7,81.78,1,166.48,14,"Post Season","Joe","Jon"
"Show Me Your TD's",2018,"Suh Girls One Kupp","2","Loss",105.48,105.48,111.1,0,216.58,2,"Regular Season","Nic","Jon"
"Show Me Your TD's",2018,"SUCK MY DITKA!!","12","Win",89.82,89.82,86.22,1,176.04,12,"Regular Season","Soda","Jon"
"Show Me Your TD's",2018,"Thunder Horse","10","Loss",78.06,78.06,86.32,0,164.38,10,"Regular Season","Colin","Jon"
"Show Me Your TD's",2019,"Admiral Ackbar's Ass","Playoffs Semi","Loss",60.92,60.92,128.28,0,189.2,15,"Post Season","Greco","Jon"
"Show Me Your TD's",2019,"Dinero Pineiro","3","Win",127.76,127.76,104.5,1,232.26,3,"Regular Season","Joe","Jon"
"Show Me Your TD's",2019,"Steelers SIXcess","4","Win",99.8,99.8,59.8,1,159.6,4,"Regular Season","Toney","Jon"
"Show Me Your TD's",2019,"Admiral Ackbar's Ass","2","Win",122.1,122.1,89.32,1,211.42,2,"Regular Season","Greco","Jon"
"Show Me Your TD's",2019,"Hagar Billies","11","Loss",59.76,59.76,98.42,0,158.18,11,"Regular Season","Mike","Jon"
"Show Me Your TD's",2019,"Two Chips","Playoffs Qtr","Loss",85.2,85.2,104.68,0,189.88,14,"Post Season","Soda","Jon"
"Show Me Your TD's",2019,"Two Chips","8","Win",109.76,109.76,74.7,1,184.46,8,"Regular Season","Soda","Jon"
"Show Me Your TD's",2019,"Thunder Horse","12","Loss",85.3,85.3,108.54,0,193.84,12,"Regular Season","Colin","Jon"
"Show Me Your TD's",2019,"Da Bear Necessities","10","Loss",93.52,93.52,105.48,0,199,10,"Regular Season","Matt","Jon"
"Show Me Your TD's",2019,"The Legion Of Zoom","13","Loss",82.6,82.6,100.36,0,182.96,13,"Regular Season","Tony","Jon"
"Show Me Your TD's",2019,"SaquonDeezNuts","1","Loss",116.32,116.32,123.3,0,239.62,1,"Regular Season","Nic","Jon"
"Show Me Your TD's",2019,"Veggie Thunbergers","6","Win",59.82,59.82,54.8,1,114.62,6,"Regular Season","Dan","Jon"
"Show Me Your TD's",2019,"Da Bear Necessities","7","Loss",101.12,101.12,144.12,0,245.24,7,"Regular Season","Matt","Jon"
"Show Me Your TD's",2019,"Dinero Pineiro","9","Loss",56.46,56.46,140.7,0,197.16,9,"Regular Season","Joe","Jon"
"Show Me Your TD's",2019,"Thunder Horse","Playoffs Champ","Win",113.66,113.66,106.86,1,220.52,16,"Post Season","Colin","Jon"
"Show Me Your TD's",2019,"TAEkin it 2 da HOUSE","5","Loss",93.02,93.02,117.36,0,210.38,5,"Regular Season","Spencer","Jon"
"Slob on my Cobb",2015,"WhamBamThankYouCam","13","Win",105.44,105.44,86.12,1,191.56,13,"Regular Season","Toney","Spencer"
"Slob on my Cobb",2015,"The Bell Staff","2","Loss",88.08,88.08,100.46,0,188.54,2,"Regular Season","Pender","Spencer"
"Slob on my Cobb",2015,"The Bell Staff","11","Loss",72.24,72.24,88.38,0,160.62,11,"Regular Season","Pender","Spencer"
"Slob on my Cobb",2015,"WhamBamThankYouCam","4","Loss",49.68,49.68,83.66,0,133.34,4,"Regular Season","Toney","Spencer"
"Slob on my Cobb",2015,"The Derek Carrs","7","Loss",88.92,88.92,115.3,0,204.22,7,"Regular Season","Tony","Spencer"
"Slob on my Cobb",2015,"Cheap Vodka","10","Loss",83.92,83.92,110.32,0,194.24,10,"Regular Season","Joe","Spencer"
"Slob on my Cobb",2015,"SUCK MY DITKA","8","Win",133.74,133.74,81.98,1,215.72,8,"Regular Season","Soda","Spencer"
"Slob on my Cobb",2015,"Cheap Vodka","1","Loss",115.34,115.34,122.86,0,238.2,1,"Regular Season","Joe","Spencer"
"Slob on my Cobb",2015,"Show Me Your TD's","9","Loss",97.96,97.96,123.36,0,221.32,9,"Regular Season","Jon","Spencer"
"Slob on my Cobb",2015,"Circle Joique","12","Win",128.64,128.64,62.18,1,190.82,12,"Regular Season","Mike","Spencer"
"Slob on my Cobb",2015,"Admiral Ackbar's Ass","5","Loss",76.54,76.54,118.84,0,195.38,5,"Regular Season","Greco","Spencer"
"Slob on my Cobb",2015,"Circle Joique","3","Loss",100.2,100.2,140.22,0,240.42,3,"Regular Season","Mike","Spencer"
"Slob on my Cobb",2015,"Circle Joique","Playoffs 3rd","Loss",68.6,68.6,76.14,0,144.74,16,"Post Season","Mike","Spencer"
"Slob on my Cobb",2015,"Ginger Kids","6","Win",93.36,93.36,88.4,1,181.76,6,"Regular Season","Dan","Spencer"
"Slob on my Cobb",2015,"Ginger Kids","Playoffs Semi","Win",145.34,145.34,99.46,1,244.8,15,"Post Season","Dan","Spencer"
"Steelers SIXcess",2016,"Wilfork on 1st Date","7","Loss",71.02,71.02,117.7,0,188.72,7,"Regular Season","Matt","Toney"
"Steelers SIXcess",2016,"SUCK MY DITKA","4","Loss",70.78,70.78,109.6,0,180.38,4,"Regular Season","Soda","Toney"
"Steelers SIXcess",2016,"Ginger Kids","12","Win",135.76,135.76,102.94,1,238.7,12,"Regular Season","Dan","Toney"
"Steelers SIXcess",2016,"Show Me Your TD's","2","Win",104.88,104.88,51.66,1,156.54,2,"Regular Season","Jon","Toney"
"Steelers SIXcess",2016,"Thunder Horse","Consolation 9th","Win",105.88,105.88,101.68,1,207.56,16,"Post Season","Colin","Toney"
"Steelers SIXcess",2016,"Team Zekeachu","5","Win",123.4,123.4,88.6,1,212,5,"Regular Season","Pender","Toney"
"Steelers SIXcess",2016,"Ginger Kids","1","Loss",85.68,85.68,115.1,0,200.78,1,"Regular Season","Dan","Toney"
"Steelers SIXcess",2016,"Wilfork on 1st Date","Consolation Semi","Win",58.44,58.44,53.52,1,111.96,15,"Post Season","Matt","Toney"
"Steelers SIXcess",2016,"Cheap Vodka","10","Win",142.3,142.3,100.62,1,242.92,10,"Regular Season","Joe","Toney"
"Steelers SIXcess",2016,"Fuck Gronks bitchass","6","Win",118.08,118.08,90.36,1,208.44,6,"Regular Season","Tony","Toney"
"Steelers SIXcess",2016,"Admiral Ackbar's Ass","9","Loss",93.48,93.48,96.06,0,189.54,9,"Regular Season","Greco","Toney"
"Steelers SIXcess",2016,"Show Me Your TD's","13","Win",114.62,114.62,89.16,1,203.78,13,"Regular Season","Jon","Toney"
"Steelers SIXcess",2016,"Bell's Potslam","11","Win",115.1,115.1,66.28,1,181.38,11,"Regular Season","Mike","Toney"
"Steelers SIXcess",2016,"Jordy oz. to Freedom","3","Win",101.5,101.5,72.18,1,173.68,3,"Regular Season","Spencer","Toney"
"Steelers SIXcess",2016,"Thunder Horse","8","Loss",82.08,82.08,112.42,0,194.5,8,"Regular Season","Colin","Toney"
"Steelers SIXcess",2017,"The Cucumber Curse","6","Loss",88.28,88.28,104.62,0,192.9,6,"Regular Season","Tony","Toney"
"Steelers SIXcess",2017,"Team Carrizard","5","Loss",67.02,67.02,104.52,0,171.54,5,"Regular Season","Pender","Toney"
"Steelers SIXcess",2017,"Admiral Ackbar's Ass","9","Win",127.9,127.9,69.92,1,197.82,9,"Regular Season","Greco","Toney"
"Steelers SIXcess",2017,"The Dakstreet Boys","7","Win",119.06,119.06,89.62,1,208.68,7,"Regular Season","Matt","Toney"
"Steelers SIXcess",2017,"SUCK MY DITKA!","4","Win",135.46,135.46,62.78,1,198.24,4,"Regular Season","Soda","Toney"
"Steelers SIXcess",2017,"Show Me Your TD's","13","Loss",70.36,70.36,74.32,0,144.68,13,"Regular Season","Jon","Toney"
"Steelers SIXcess",2017,"Ginger Kids","1","Win",133.6,133.6,94.44,1,228.04,1,"Regular Season","Dan","Toney"
"Steelers SIXcess",2017,"Ginger Kids","12","Win",97.68,97.68,61.78,1,159.46,12,"Regular Season","Dan","Toney"
"Steelers SIXcess",2017,"Mr. Thiel Your Gurl","3","Win",114.12,114.12,88.56,1,202.68,3,"Regular Season","Spencer","Toney"
"Steelers SIXcess",2017,"He Hate Me","11","Win",106.12,106.12,102.3,1,208.42,11,"Regular Season","Mike","Toney"
"Steelers SIXcess",2017,"Show Me Your TD's","Consolation 9th","Loss",72.26,72.26,91.82,0,164.08,16,"Post Season","Jon","Toney"
"Steelers SIXcess",2017,"Cheap Vodka","10","Loss",56.94,56.94,65.1,0,122.04,10,"Regular Season","Joe","Toney"
"Steelers SIXcess",2017,"Show Me Your TD's","2","Win",98.44,98.44,85.98,1,184.42,2,"Regular Season","Jon","Toney"
"Steelers SIXcess",2017,"The Cucumber Curse","Consolation Semi","Win",75.92,75.92,73.78,1,149.7,15,"Post Season","Tony","Toney"
"Steelers SIXcess",2017,"Team Carrizard","Consolation Qtr","Loss",74.54,74.54,116.84,0,191.38,14,"Post Season","Pender","Toney"
"Steelers SIXcess",2017,"Thunder Horse","8","Win",110.68,110.68,91.86,1,202.54,8,"Regular Season","Colin","Toney"
"Steelers SIXcess",2018,"Suh Girls One Kupp","3","Win",99.58,99.58,83.7,1,183.28,3,"Regular Season","Nic","Toney"
"Steelers SIXcess",2018,"SUCK MY DITKA!!","2","Win",98.94,98.94,83.26,1,182.2,2,"Regular Season","Soda","Toney"
"Steelers SIXcess",2018,"SUCK MY DITKA!!","13","Win",95.1,95.1,90.4,1,185.5,13,"Regular Season","Soda","Toney"
"Steelers SIXcess",2018,"Thunder Horse","1","Win",127.66,127.66,95.84,1,223.5,1,"Regular Season","Colin","Toney"
"Steelers SIXcess",2018,"Daniel's Stormies","Playoffs Qtr","Win",153.82,153.82,62.8,1,216.62,14,"Post Season","Dan","Toney"
"Steelers SIXcess",2018,"Show Me Your TD's","Playoffs 5th","Win",106.86,106.86,90.54,1,197.4,15,"Post Season","Jon","Toney"
"Steelers SIXcess",2018,"A bunch of Jerry's","4","Loss",89.76,89.76,133.96,0,223.72,4,"Regular Season","Tony","Toney"
"Steelers SIXcess",2018,"Daniel's Stormies","8","Loss",53.74,53.74,81.46,0,135.2,8,"Regular Season","Dan","Toney"
"Steelers SIXcess",2018,"Show Me Your TD's","11","Win",102.42,102.42,79.38,1,181.8,11,"Regular Season","Jon","Toney"
"Steelers SIXcess",2018,"Gronkey Kong","5","Loss",77.2,77.2,82.58,0,159.78,5,"Regular Season","Matt","Toney"
"Steelers SIXcess",2018,"Ridley Me That","10","Loss",71.26,71.26,86.76,0,158.02,10,"Regular Season","Spencer","Toney"
"Steelers SIXcess",2018,"MR. T's Cereal","7","Loss",89.64,89.64,98.98,0,188.62,7,"Regular Season","Joe","Toney"
"Steelers SIXcess",2018,"Admiral Ackbar's Ass","6","Loss",72.52,72.52,134.1,0,206.62,6,"Regular Season","Greco","Toney"
"Steelers SIXcess",2018,"Cousin's Familia","9","Loss",48.36,48.36,92.16,0,140.52,9,"Regular Season","Mike","Toney"
"Steelers SIXcess",2018,"Thunder Horse","12","Loss",108.14,108.14,113.62,0,221.76,12,"Regular Season","Colin","Toney"
"Steelers SIXcess",2019,"Admiral Ackbar's Ass","13","Win",93.64,93.64,77.38,1,171.02,13,"Regular Season","Greco","Toney"
"Steelers SIXcess",2019,"Two Chips","9","Win",160.52,160.52,61.36,1,221.88,9,"Regular Season","Soda","Toney"
"Steelers SIXcess",2019,"Thunder Horse","8","Win",109.58,109.58,88.54,1,198.12,8,"Regular Season","Colin","Toney"
"Steelers SIXcess",2019,"Dinero Pineiro","12","Loss",78.34,78.34,110.56,0,188.9,12,"Regular Season","Joe","Toney"
"Steelers SIXcess",2019,"Da Bear Necessities","6","Loss",58.62,58.62,96.8,0,155.42,6,"Regular Season","Matt","Toney"
"Steelers SIXcess",2019,"TAEkin it 2 da HOUSE","Consolation 11th","Win",105.12,105.12,102.46,1,207.58,15,"Post Season","Spencer","Toney"
"Steelers SIXcess",2019,"Veggie Thunbergers","11","Win",117.04,117.04,89.74,1,206.78,11,"Regular Season","Dan","Toney"
"Steelers SIXcess",2019,"TAEkin it 2 da HOUSE","3","Win",103.24,103.24,74.62,1,177.86,3,"Regular Season","Spencer","Toney"
"Steelers SIXcess",2019,"Show Me Your TD's","4","Loss",59.8,59.8,99.8,0,159.6,4,"Regular Season","Jon","Toney"
"Steelers SIXcess",2019,"The Legion Of Zoom","10","Win",99.64,99.64,78.68,1,178.32,10,"Regular Season","Tony","Toney"
"Steelers SIXcess",2019,"Admiral Ackbar's Ass","1","Win",135.2,135.2,103.32,1,238.52,1,"Regular Season","Greco","Toney"
"Steelers SIXcess",2019,"SaquonDeezNuts","Consolation Qtr","Win",104.88,104.88,78.54,1,183.42,14,"Post Season","Nic","Toney"
"Steelers SIXcess",2019,"Hagar Billies","5","Win",73.44,73.44,72.84,1,146.28,5,"Regular Season","Mike","Toney"
"Steelers SIXcess",2019,"SaquonDeezNuts","2","Loss",88.76,88.76,89.52,0,178.28,2,"Regular Season","Nic","Toney"
"Steelers SIXcess",2019,"The Legion Of Zoom","7","Win",107.74,107.74,74.26,1,182,7,"Regular Season","Tony","Toney"
"SUCK MY DITKA",2014,"Cheap Vodka","2","Loss",93.24,93.24,102.48,0,195.72,2,"Regular Season","Joe","Soda"
"SUCK MY DITKA",2014,"The Strange Tamers","7","Loss",84.3,84.3,112.2,0,196.5,7,"Regular Season","Tony","Soda"
"SUCK MY DITKA",2014,"Cheap Vodka","11","Win",91.14,91.14,81,1,172.14,11,"Regular Season","Joe","Soda"
"SUCK MY DITKA",2014,"The Taint Ticklers","3","Loss",92.32,92.32,94.22,0,186.54,3,"Regular Season","Matt","Soda"
"SUCK MY DITKA",2014,"Circle Joique","5","Loss",52.44,52.44,82.84,0,135.28,5,"Regular Season","Mike","Soda"
"SUCK MY DITKA",2014,"Teach me how to Raji","4","Loss",81.82,81.82,86.68,0,168.5,4,"Regular Season","Spencer","Soda"
"SUCK MY DITKA",2014,"Ginger Kids","Playoffs Semi","Loss",92.16,92.16,94.3,0,186.46,15,"Post Season","Dan","Soda"
"SUCK MY DITKA",2014,"Coolio Julio Hustle","10","Loss",60.48,60.48,100.38,0,160.86,10,"Regular Season","Pender","Soda"
"SUCK MY DITKA",2014,"Admiral Ackbar's Ass","6","Win",103.1,103.1,93.54,1,196.64,6,"Regular Season","Greco","Soda"
"SUCK MY DITKA",2014,"The Taint Ticklers","12","Loss",112.78,112.78,115.4,0,228.18,12,"Regular Season","Matt","Soda"
"SUCK MY DITKA",2014,"Punts with a C","8","Loss",114.66,114.66,155.84,0,270.5,8,"Regular Season","Jon","Soda"
"SUCK MY DITKA",2014,"Ginger Kids","9","Loss",41.1,41.1,111.38,0,152.48,9,"Regular Season","Dan","Soda"
"SUCK MY DITKA",2014,"Teach me how to Raji","13","Loss",114.74,114.74,156.98,0,271.72,13,"Regular Season","Spencer","Soda"
"SUCK MY DITKA",2014,"Admiral Ackbar's Ass","Playoffs Champ","Loss",59.76,59.76,99.72,0,159.48,16,"Post Season","Greco","Soda"
"SUCK MY DITKA",2015,"WhamBamThankYouCam","11","Win",119.74,119.74,88.28,1,208.02,11,"Regular Season","Toney","Soda"
"SUCK MY DITKA",2015,"The Bell Staff","9","Win",128.44,128.44,111.92,1,240.36,9,"Regular Season","Pender","Soda"
"SUCK MY DITKA",2015,"Admiral Ackbar's Ass","3","Win",108.66,108.66,105.82,1,214.48,3,"Regular Season","Greco","Soda"
"SUCK MY DITKA",2015,"WhamBamThankYouCam","2","Win",101.24,101.24,96.84,1,198.08,2,"Regular Season","Toney","Soda"
"SUCK MY DITKA",2015,"Ginger Kids","13","Win",123.84,123.84,118.82,1,242.66,13,"Regular Season","Dan","Soda"
"SUCK MY DITKA",2015,"Ginger Kids","4","Loss",86.66,86.66,91.64,0,178.3,4,"Regular Season","Dan","Soda"
"SUCK MY DITKA",2015,"Circle Joique","1","Loss",74.22,74.22,112.12,0,186.34,1,"Regular Season","Mike","Soda"
