Week,Opponent_Manager_Team,Outcome,Matchup,Matchup,Manager_Team,Year
8,Dinero Pineiro,Loss,101.36 - 116.82,101.36,SaquonDeezNuts,2019
9,Hagar Billies,Loss,77.64 - 91.26,77.64,SaquonDeezNuts,2019
10,Thunder Horse,Loss,73.54 - 112.08,73.54,SaquonDeezNuts,2019
11,Admiral Ackbar's Ass,Loss,74.26 - 102.34,74.26,SaquonDeezNuts,2019
12,The Legion Of Zoom,Win,97.12 - 82.78,97.12,SaquonDeezNuts,2019
13,TAEkin it 2 da HOUSE,Win,106.66 - 96.12,106.66,SaquonDeezNuts,2019
Playoffs Qtr,Veggie Thunbergers,Loss,80.3 - 138.14,80.3,Hagar Billies,2019
Playoffs Qtr,Hagar Billies,Win,138.14 - 80.3,138.14,Veggie Thunbergers,2019
Playoffs Qtr,Two Chips,Win,104.68 - 85.2,104.68,Show Me Your TD's,2019
Playoffs Qtr,Show Me Your TD's,Loss,85.2 - 104.68,85.2,Two Chips,2019
Playoffs Semi,Veggie Thunbergers,Win,140.14 - 108.02,140.14,Thunder Horse,2019
Playoffs Semi,Thunder Horse,Loss,108.02 - 140.14,108.02,Veggie Thunbergers,2019
Playoffs Semi,Admiral Ackbar's Ass,Win,128.28 - 60.92,128.28,Show Me Your TD's,2019
Playoffs Semi,Show Me Your TD's,Loss,60.92 - 128.28,60.92,Admiral Ackbar's Ass,2019
Playoffs 5th,Two Chips,Loss,86.64 - 127.78,86.64,Hagar Billies,2019
Playoffs 5th,Hagar Billies,Win,127.78 - 86.64,127.78,Two Chips,2019
Playoffs Champ,Show Me Your TD's,Win,113.66 - 106.86,113.66,Thunder Horse,2019
Playoffs Champ,Thunder Horse,Loss,106.86 - 113.66,106.86,Show Me Your TD's,2019
Playoffs 3rd,Admiral Ackbar's Ass,Loss,61 - 92.74,61,Veggie Thunbergers,2019
Playoffs 3rd,Veggie Thunbergers,Win,92.74 - 61,92.74,Admiral Ackbar's Ass,2019
Consolation Qtr,TAEkin it 2 da HOUSE,Win,84.68 - 75.9,84.68,Dinero Pineiro,2019
Consolation Qtr,Dinero Pineiro,Loss,75.9 - 84.68,75.9,TAEkin it 2 da HOUSE,2019
Consolation Qtr,Steelers SIXcess,Win,104.88 - 78.54,104.88,SaquonDeezNuts,2019
Consolation Qtr,SaquonDeezNuts,Loss,78.54 - 104.88,78.54,Steelers SIXcess,2019
Consolation Semi,Dinero Pineiro,Loss,67.9 - 116.54,67.9,Da Bear Necessities,2019
Consolation Semi,Da Bear Necessities,Win,116.54 - 67.9,116.54,Dinero Pineiro,2019
Consolation Semi,The Legion Of Zoom,Win,103.92 - 99.2,103.92,SaquonDeezNuts,2019
Consolation Semi,SaquonDeezNuts,Loss,99.2 - 103.92,99.2,The Legion Of Zoom,2019
Consolation 11th,Steelers SIXcess,Win,105.12 - 102.46,105.12,TAEkin it 2 da HOUSE,2019
